epoch,train_loss,val_psnr,avg3,lr
0,,22.5089,22.5089,0.0001
1,0.062478,22.5761,22.5425,9.98794204878613e-05
2,0.059022,22.5395,22.5415,9.951826940270773e-05
3,0.057834,22.5755,22.5637,9.891830623632339e-05
4,0.057385,22.5869,22.5673,9.808245394894679e-05
5,0.057095,22.5453,22.5693,9.701478472890248e-05
6,0.056746,22.6298,22.5874,9.572050015330875e-05
7,0.056512,22.5762,22.5838,9.42059058465169e-05
8,0.056139,22.621,22.609,9.247838075974309e-05
9,0.055908,22.5782,22.5918,9.054634122155992e-05
10,0.055816,22.5843,22.5945,8.841919993438942e-05
11,0.055393,22.5861,22.5829,8.610732011676325e-05
12,0.055471,22.5948,22.5884,8.36219650147635e-05
13,0.055278,22.5734,22.5848,8.09752430286201e-05
14,0.054969,22.6334,22.6005,7.818004872180198e-05
15,0.054661,22.5986,22.6018,7.525000000000001e-05
16,0.054738,22.6213,22.6178,7.219937176605935e-05
17,0.054505,22.5828,22.6009,6.904302637408766e-05
18,0.05438,22.583,22.5957,6.579634122155991e-05
19,0.054298,22.5883,22.5847,6.247513383218356e-05
20,0.054034,22.6154,22.5956,5.909558479451306e-05
21,0.053856,22.5748,22.5928,5.5674158931748854e-05
22,0.054013,22.5891,22.5931,5.222752508677381e-05
23,0.053555,22.6277,22.5972,4.8772474913226224e-05
24,0.053643,22.5807,22.5992,4.532584106825117e-05
25,0.053458,22.6072,22.6052,4.190441520548696e-05
26,0.053437,22.6163,22.6014,3.852486616781645e-05
27,0.053445,22.6026,22.6087,3.520365877844012e-05
28,0.053147,22.5827,22.6005,3.1956973625912366e-05
29,0.053114,22.5916,22.5923,2.8800628233940678e-05
30,0.052933,22.6017,22.592,2.5750000000000023e-05
31,0.05307,22.5772,22.5902,2.281995127819805e-05
